agence,banque,lat,long,geometry,index_right,C_DELEG,OBJECTID,LABEL,C_SECT,LABEL_AR,municipalite,circonscription,gouvernorat,CODE_GOUV,Shape__Area,Shape__Length,delegation,Nearest_Biat,Distance_Km,CONCURRENT LE PLUS PROCHE,BIAT LA PLUS PROCHE
Agence Akouda,biat,35.86599731445312,10.57044124603271,POINT (10.57044124603271 35.86599731445312),130,3156,979,AKOUDA EST,315651,أكودة الشرقية,Akouda,Sousse,Sousse,31,0.0002964198821473,0.0763456029267291,Akouda,Agence Hammam Sousse,2.73,stb (0.05Km),Agence Akouda (0.05Km)
bh,bh,35.8466368,10.5483892,POINT (10.5483892 35.8466368),130,3156,979,AKOUDA EST,315651,أكودة الشرقية,Akouda,Sousse,Sousse,31,0.0002964198821473,0.0763456029267291,Akouda,Agence Kalaa Sghira,2.88,uib (1.97Km),Agence Kalaa Kebira (1.15Km)
bh,bh,35.9364203,10.554481,POINT (10.554481 35.9364203),130,3156,979,AKOUDA EST,315651,أكودة الشرقية,Akouda,Sousse,Sousse,31,0.0002964198821473,0.0763456029267291,Akouda,Agence Les Jardins d'el Kantaoui,6.05,ubci (2.42Km),Agence Les Jardins d'el Kantaoui (3.82Km)
bt,bt,35.8730011,10.56630039,POINT (10.56630039 35.8730011),130,3156,979,AKOUDA EST,315651,أكودة الشرقية,Akouda,Sousse,Sousse,31,0.0002964198821473,0.0763456029267291,Akouda,Agence Akouda,0.86,stb (0.85Km),Agence Akouda (0.05Km)
bts,bts,35.89755040501279,10.58120727539062,POINT (10.58120727539062 35.89755040501279),130,3156,979,AKOUDA EST,315651,أكودة الشرقية,Akouda,Sousse,Sousse,31,0.0002964198821473,0.0763456029267291,Akouda,Agence Les Jardins d'el Kantaoui,1.35,stb (0.89Km),Agence Les Jardins d'el Kantaoui (0.57Km)
stb,stb,35.8659052,10.5698937,POINT (10.5698937 35.8659052),130,3156,979,AKOUDA EST,315651,أكودة الشرقية,Akouda,Sousse,Sousse,31,0.0002964198821473,0.0763456029267291,Akouda,Agence Akouda,0.05,biat (0.05Km),Agence Hammam Sousse (2.73Km)
ubci,ubci,35.915862,10.563312,POINT (10.563312 35.915862),130,3156,979,AKOUDA EST,315651,أكودة الشرقية,Akouda,Sousse,Sousse,31,0.0002964198821473,0.0763456029267291,Akouda,Agence Les Jardins d'el Kantaoui,3.82,bh (2.42Km),Agence Les Jardins d'el Kantaoui (6.05Km)
BIAT EL AMRA X2,biat,34.981604,10.8942883,POINT (10.8942883 34.981604),173,3459,1299,EL AMRA,345951,العامرة,El Amra,Sfax_1,Sfax,34,0.0020132729226247,0.244815027978833,El Amra,Agence El Hancha,21.04,stb (5.54Km),BIAT EL AMRA X2 (5.54Km)
amen,amen,34.765016,10.713243,POINT (10.713243 34.765016),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route Menzel Chaker,1.3,atb (0.27Km),Agence Sfax route Menzel Chaker (1.42Km)
amen,amen,34.763122,10.727947,POINT (10.727947 34.763122),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route Lafrane,0.65,stb (0.1Km),Agence Sfax route Lafrane (0.55Km)
atb,atb,34.7662928,10.71079180000004,POINT (10.71079180000004 34.7662928),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route Menzel Chaker,1.42,amen (0.27Km),Agence Sfax route Menzel Chaker (1.3Km)
atb,atb,34.7848797,10.72158020000006,POINT (10.72158020000006 34.7848797),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route de Teniour,2.22,wifak (0.09Km),Agence Sfax route de Teniour (2.22Km)
attijari,attijari,34.755127,10.707414,POINT (10.707414 34.755127),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route Menzel Chaker,0.38,biat (0.38Km),Agence Sfax route Lafrane (2.1Km)
attijari,attijari,34.783484,10.722449,POINT (10.722449 34.783484),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route de Teniour,2.18,wifak (0.09Km),Agence Sfax route de Teniour (2.22Km)
baraka,baraka,34.8151854,10.6874593,POINT (10.6874593 34.8151854),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route de Teniour,6.12,qnb (3.58Km),Agence Sfax route de Teniour (2.79Km)
bh,bh,34.768801,10.6812745,POINT (10.6812745 34.768801),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route Menzel Chaker,3.21,bh (0.0Km),Agence Sfax route Menzel Chaker (3.21Km)
bh,bh,34.7862679,10.7185414,POINT (10.7185414 34.7862679),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route de Teniour,2.48,atb (0.32Km),Agence Sfax route de Teniour (2.22Km)
bh,bh,34.768801,10.6812745,POINT (10.6812745 34.768801),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route Menzel Chaker,3.21,bh (0.0Km),Agence Sfax route Menzel Chaker (3.21Km)
bt,bt,34.772781,10.733471,POINT (10.733471 34.772781),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route Lafrane,1.53,ubci (0.2Km),Agence Sfax route Lafrane (1.44Km)
bt,bt,34.779267,10.729008,POINT (10.729008 34.779267),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route de Teniour,1.8,attijari (0.76Km),Agence Sfax route de Teniour (2.18Km)
qnb,qnb,34.767606,10.722187,POINT (10.722187 34.767606),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route Lafrane,1.38,wifak (0.18Km),Agence Sfax route Lafrane (1.54Km)
qnb,qnb,34.792914,10.715699,POINT (10.715699 34.792914),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route de Teniour,2.79,zitouna (0.05Km),Agence Sfax route de Teniour (2.75Km)
ubci,ubci,34.771875,10.731575,POINT (10.731575 34.771875),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route Lafrane,1.44,bt (0.2Km),Agence Sfax route Lafrane (1.53Km)
uib,uib,34.7851,10.7061,POINT (10.7061 34.7851),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route Menzel Chaker,3.54,bh (1.14Km),Agence Sfax route de Teniour (2.48Km)
wifak,wifak,34.76906648639449,10.72139329031037,POINT (10.72139329031037 34.76906648639449),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route Lafrane,1.54,qnb (0.18Km),Agence Sfax route Lafrane (1.38Km)
wifak,wifak,34.784089,10.721764,POINT (10.721764 34.784089),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route de Teniour,2.22,atb (0.09Km),Agence Sfax route de Teniour (2.22Km)
zitouna,zitouna,34.792538,10.716058,POINT (10.716058 34.792538),169,3455,1273,EL AIN,345551,العين,El Aïn,Sfax_2,Sfax,34,0.0010592039190839,0.145538435194,Sfax Sud,Agence Sfax route de Teniour,2.75,qnb (0.05Km),Agence Sfax route de Teniour (2.79Km)
amen,amen,34.969497,10.372007,POINT (10.372007 34.969497),175,3461,1314,MENZEL CHAKER,346151,منزل شاكر,Menzel Chaker,Sfax_1,Sfax,34,0.0160918781757857,0.689742215456677,Menzel Chaker,Agence Bir Ali Ben Khelifa,36.22,baraka (33.5Km),Agence Sfax route de Teniour (6.12Km)
amen,amen,35.671622,10.103004,POINT (10.103004 35.671622),182,4152,1378,ELMANSOURA NORD,415251,المنصورة الشمالية,Kairouan,Kairouan,Kairouan,41,0.0002626270660073,0.0764765781479612,Kairouan Sud,Agence Kairouan,0.31,atb (0.05Km),Agence Kairouan (0.27Km)
atb,atb,35.6714027,10.10257350000006,POINT (10.10257350000006 35.6714027),182,4152,1378,ELMANSOURA NORD,415251,المنصورة الشمالية,Kairouan,Kairouan,Kairouan,41,0.0002626270660073,0.0764765781479612,Kairouan Sud,Agence Kairouan,0.27,bna (0.03Km),Agence Kairouan (0.24Km)
attijari,attijari,35.65625,10.08814200000006,POINT (10.08814200000006 35.65625),182,4152,1378,ELMANSOURA NORD,415251,المنصورة الشمالية,Kairouan,Kairouan,Kairouan,41,0.0002626270660073,0.0764765781479612,Kairouan Sud,Agence Kairouan,1.97,biat (1.97Km),Agence Msaken (43.99Km)
bna,bna,35.6723215347399,10.101581264939,POINT (10.101581264939 35.6723215347399),182,4152,1378,ELMANSOURA NORD,415251,المنصورة الشمالية,Kairouan,Kairouan,Kairouan,41,0.0002626270660073,0.0764765781479612,Kairouan Sud,Agence Kairouan,0.21,bt (0.09Km),Agence Kairouan (0.29Km)
bna,bna,35.6713114,10.1023153,POINT (10.1023153 35.6713114),182,4152,1378,ELMANSOURA NORD,415251,المنصورة الشمالية,Kairouan,Kairouan,Kairouan,41,0.0002626270660073,0.0764765781479612,Kairouan Sud,Agence Kairouan,0.24,atb (0.03Km),Agence Kairouan (0.27Km)
bt,bt,35.6730619019245,10.1019552802072,POINT (10.1019552802072 35.6730619019245),182,4152,1378,ELMANSOURA NORD,415251,المنصورة الشمالية,Kairouan,Kairouan,Kairouan,41,0.0002626270660073,0.0764765781479612,Kairouan Sud,Agence Kairouan,0.29,uib (0.03Km),Agence Kairouan (0.32Km)
uib,uib,35.6732,10.1022,POINT (10.1022 35.6732),182,4152,1378,ELMANSOURA NORD,415251,المنصورة الشمالية,Kairouan,Kairouan,Kairouan,41,0.0002626270660073,0.0764765781479612,Kairouan Sud,Agence Kairouan,0.32,bt (0.03Km),Agence Kairouan (0.29Km)
wifak,wifak,35.671148,10.102507,POINT (10.102507 35.671148),182,4152,1378,ELMANSOURA NORD,415251,المنصورة الشمالية,Kairouan,Kairouan,Kairouan,41,0.0002626270660073,0.0764765781479612,Kairouan Sud,Agence Kairouan,0.26,atb (0.03Km),Agence Kairouan (0.27Km)
zitouna,zitouna,35.67092,10.101432,POINT (10.101432 35.67092),182,4152,1378,ELMANSOURA NORD,415251,المنصورة الشمالية,Kairouan,Kairouan,Kairouan,41,0.0002626270660073,0.0764765781479612,Kairouan Sud,Agence Kairouan,0.17,bna (0.09Km),Agence Kairouan (0.24Km)
amen,amen,36.3677075,10.5331272,POINT (10.5331272 36.3677075),135,3161,1014,BOUFICHA,316151,بوفيشة,Bouficha,Sousse,Sousse,31,0.0015669090464882,0.201068533952916,Bouficha,Agence Marina Hammamet,1.06,stb (0.6Km),Agence Marina Hammamet (1.4Km)
attijari,attijari,36.302053,10.45503600000006,POINT (10.45503600000006 36.302053),135,3161,1014,BOUFICHA,316151,بوفيشة,Bouficha,Sousse,Sousse,31,0.0015669090464882,0.201068533952916,Bouficha,Agence Marina Hammamet,11.16,bh (0.2Km),Agence Marina Hammamet (11.11Km)
bh,bh,36.3011935,10.4569412,POINT (10.4569412 36.3011935),135,3161,1014,BOUFICHA,316151,بوفيشة,Bouficha,Sousse,Sousse,31,0.0015669090464882,0.201068533952916,Bouficha,Agence Marina Hammamet,11.11,attijari (0.2Km),Agence Marina Hammamet (11.16Km)
stb,stb,36.36249828,10.53506255,POINT (10.53506255 36.36249828),135,3161,1014,BOUFICHA,316151,بوفيشة,Bouficha,Sousse,Sousse,31,0.0015669090464882,0.201068533952916,Bouficha,Agence Marina Hammamet,1.4,amen (0.6Km),Agence Marina Hammamet (1.06Km)
amen,amen,33.703532,8.972035,POINT (8.972035 33.703532),259,6351,2043,KEBILI SUD,635151,قبلي الجنوبية,Kebeli,Kebeli,Kebeli,63,0.0023950115661932,0.441515908019394,Kebili Sud,Agence Kebili,0.21,bfpme (0.1Km),Agence Kebili (0.12Km)
attijari,attijari,33.703331,8.97454300000004,POINT (8.97454300000004 33.703331),259,6351,2043,KEBILI SUD,635151,قبلي الجنوبية,Kebeli,Kebeli,Kebeli,63,0.0023950115661932,0.441515908019394,Kebili Sud,Agence Kebili,0.25,bna (0.14Km),Agence Kebili (0.13Km)
amen,amen,35.230121,9.127126,POINT (9.127126 35.230121),196,4255,1503,SBEITLA,425551,سبيطلة,Sbeitla,Kasserine,Kasserine,42,0.00065103252237,0.119684614996819,Sbeitla,Agence Kasserine,27.07,zitouna (0.34Km),Agence Kasserine (27.08Km)
bh,bh,35.2332569,9.123761,POINT (9.123761 35.2332569),196,4255,1503,SBEITLA,425551,سبيطلة,Sbeitla,Kasserine,Kasserine,42,0.00065103252237,0.119684614996819,Sbeitla,Agence Kasserine,26.86,bna (0.17Km),Agence Kasserine (27.02Km)
bna,bna,35.23422551670911,9.125208903755832,POINT (9.125208903755832 35.23422551670911),196,4255,1503,SBEITLA,425551,سبيطلة,Sbeitla,Kasserine,Kasserine,42,0.00065103252237,0.119684614996819,Sbeitla,Agence Kasserine,27.02,zitouna (0.16Km),Agence Kasserine (27.08Km)
stb,stb,35.2315283,9.1210028,POINT (9.1210028 35.2315283),196,4255,1503,SBEITLA,425551,سبيطلة,Sbeitla,Kasserine,Kasserine,42,0.00065103252237,0.119684614996819,Sbeitla,Agence Kasserine,26.57,bh (0.32Km),Agence Kasserine (26.86Km)
zitouna,zitouna,35.233083,9.126278,POINT (9.126278 35.233083),196,4255,1503,SBEITLA,425551,سبيطلة,Sbeitla,Kasserine,Kasserine,42,0.00065103252237,0.119684614996819,Sbeitla,Agence Kasserine,27.08,bna (0.16Km),Agence Kasserine (27.02Km)
amen,amen,33.617763,10.287071,POINT (10.287071 33.617763),226,5160,1758,MARETH,516051,مارث,Mareth,Gabes,Gabes,51,0.0038176064273329,0.332646096396299,Mareth,Agence Gabes 2,32.85,bh (0.17Km),Agence Gabes 2 (32.81Km)
atb,atb,33.6119087,10.29313490000004,POINT (10.29313490000004 33.6119087),226,5160,1758,MARETH,516051,مارث,Mareth,Gabes,Gabes,51,0.0038176064273329,0.332646096396299,Mareth,Agence Gabes 2,33.7,attijari (0.49Km),Agence Gabes 2 (33.93Km)
attijari,attijari,33.6081440246388,10.29034151953124,POINT (10.29034151953124 33.6081440246388),226,5160,1758,MARETH,516051,مارث,Mareth,Gabes,Gabes,51,0.0038176064273329,0.332646096396299,Mareth,Agence Gabes 2,33.93,atb (0.49Km),Agence Gabes 2 (33.7Km)
attijari,attijari,33.670533,10.35276899999997,POINT (10.35276899999997 33.670533),226,5160,1758,MARETH,516051,مارث,Mareth,Gabes,Gabes,51,0.0038176064273329,0.332646096396299,Mareth,Agence Gabes 2,31.86,stb (6.4Km),Agence Gabes 2 (32.0Km)
bh,bh,33.6173458,10.2853114,POINT (10.2853114 33.6173458),226,5160,1758,MARETH,516051,مارث,Mareth,Gabes,Gabes,51,0.0038176064273329,0.332646096396299,Mareth,Agence Gabes 2,32.81,amen (0.17Km),Agence Gabes 2 (32.85Km)
bna,bna,33.61598419482591,10.28918032785862,POINT (10.28918032785862 33.61598419482591),226,5160,1758,MARETH,516051,مارث,Mareth,Gabes,Gabes,51,0.0038176064273329,0.332646096396299,Mareth,Agence Gabes 2,33.12,zitouna (0.0Km),Agence Gabes 2 (33.12Km)
stb,stb,33.633333,10.29999999999996,POINT (10.29999999999996 33.633333),226,5160,1758,MARETH,516051,مارث,Mareth,Gabes,Gabes,51,0.0038176064273329,0.332646096396299,Mareth,Agence Gabes 2,32.0,amen (2.1Km),Agence Gabes 2 (32.85Km)
zitouna,zitouna,33.615999,10.289216,POINT (10.289216 33.615999),226,5160,1758,MARETH,516051,مارث,Mareth,Gabes,Gabes,51,0.0038176064273329,0.332646096396299,Mareth,Agence Gabes 2,33.12,bna (0.0Km),Agence Gabes 2 (33.12Km)
amen,amen,33.723099,10.747048,POINT (10.747048 33.723099),234,5258,1850,AJIM,525851,اجيم,Djerba - Ajim,Mednine,Mednine,52,0.0015368146089827,0.201332122795888,Djerba Ajim,Agence Djerba,19.62,atb (0.09Km),Agence Djerba (19.7Km)
atb,atb,33.7224581,10.74648379999996,POINT (10.74648379999996 33.7224581),234,5258,1850,AJIM,525851,اجيم,Djerba - Ajim,Mednine,Mednine,52,0.0015368146089827,0.201332122795888,Djerba Ajim,Agence Djerba,19.7,amen (0.09Km),Agence Djerba (19.62Km)
atb,atb,33.7284767,10.85560799999996,POINT (10.85560799999996 33.7284767),234,5258,1850,AJIM,525851,اجيم,Djerba - Ajim,Mednine,Mednine,52,0.0015368146089827,0.201332122795888,Djerba Ajim,Agence Djerba Midoune,15.44,bna (0.05Km),Agence Djerba Midoune (15.48Km)
bna,bna,33.72848682616331,10.85501914164036,POINT (10.85501914164036 33.72848682616331),234,5258,1850,AJIM,525851,اجيم,Djerba - Ajim,Mednine,Mednine,52,0.0015368146089827,0.201332122795888,Djerba Ajim,Agence Djerba Midoune,15.48,atb (0.05Km),Agence Djerba Midoune (15.44Km)
amen,amen,33.345603,10.490525,POINT (10.490525 33.345603),227,5251,1773,BENI GHEZAIL,525151,بني عزيل,Mednine,Mednine,Mednine,52,0.0063323773412093,0.375095985644193,Medenine Nord,Agence Medenine,2.51,bts (0.07Km),Agence Medenine (2.46Km)
atb,atb,33.3483362,10.48720449999996,POINT (10.48720449999996 33.3483362),227,5251,1773,BENI GHEZAIL,525151,بني عزيل,Mednine,Mednine,Mednine,52,0.0063323773412093,0.375095985644193,Medenine Nord,Agence Medenine,2.94,zitouna (0.05Km),Agence Medenine (2.89Km)
bna,bna,33.34805815336148,10.48770134588688,POINT (10.48770134588688 33.34805815336148),227,5251,1773,BENI GHEZAIL,525151,بني عزيل,Mednine,Mednine,Mednine,52,0.0063323773412093,0.375095985644193,Medenine Nord,Agence Medenine,2.88,zitouna (0.01Km),Agence Medenine (2.89Km)
bt,bt,33.34400177,10.49059963,POINT (10.49059963 33.34400177),227,5251,1773,BENI GHEZAIL,525151,بني عزيل,Mednine,Mednine,Mednine,52,0.0063323773412093,0.375095985644193,Medenine Nord,Agence Medenine,2.41,bh (0.11Km),Agence Medenine (2.31Km)
bts,bts,33.34498614303515,10.49063444137573,POINT (10.49063444137573 33.34498614303515),227,5251,1773,BENI GHEZAIL,525151,بني عزيل,Mednine,Mednine,Mednine,52,0.0063323773412093,0.375095985644193,Medenine Nord,Agence Medenine,2.46,uib (0.03Km),Agence Medenine (2.44Km)
ubci,ubci,33.349243,10.494604,POINT (10.494604 33.349243),227,5251,1773,BENI GHEZAIL,525151,بني عزيل,Mednine,Mednine,Mednine,52,0.0063323773412093,0.375095985644193,Medenine Nord,Agence Medenine,2.49,amen (0.55Km),Agence Medenine (2.51Km)
uib,uib,33.345,10.491,POINT (10.491 33.345),227,5251,1773,BENI GHEZAIL,525151,بني عزيل,Mednine,Mednine,Mednine,52,0.0063323773412093,0.375095985644193,Medenine Nord,Agence Medenine,2.44,bts (0.03Km),Agence Medenine (2.46Km)
wifak,wifak,33.3483135,10.4850876,POINT (10.4850876 33.3483135),227,5251,1773,BENI GHEZAIL,525151,بني عزيل,Mednine,Mednine,Mednine,52,0.0063323773412093,0.375095985644193,Medenine Nord,Agence Medenine,3.1,atb (0.2Km),Agence Medenine (2.94Km)
zitouna,zitouna,33.337996,10.486327,POINT (10.486327 33.337996),227,5251,1773,BENI GHEZAIL,525151,بني عزيل,Mednine,Mednine,Mednine,52,0.0063323773412093,0.375095985644193,Medenine Nord,Agence Medenine,2.53,attijari (0.15Km),Agence Medenine (2.4Km)
zitouna,zitouna,33.348043,10.487594,POINT (10.487594 33.348043),227,5251,1773,BENI GHEZAIL,525151,بني عزيل,Mednine,Mednine,Mednine,52,0.0063323773412093,0.375095985644193,Medenine Nord,Agence Medenine,2.89,bna (0.01Km),Agence Medenine (2.88Km)
amen,amen,33.940456,10.065334,POINT (10.065334 33.940456),220,5154,1719,GHANOUCH EST,515451,غنوش الشرقية,Ghanouch,Gabes,Gabes,51,0.0001616223004532,0.0533440177430532,Ghanouch,Agence Gabès,6.96,zitouna (5.93Km),Agence Gabès (12.1Km)
amen,amen,36.819864,10.094523,POINT (10.094523 36.819864),41,1452,294,DOUAR HICHER,145251,دوار هيشر,Douar Hicher,Manouba,Manouba,14,0.0001532758252835,0.0570227161241617,Douar Hicher,Agence Manouba,1.16,uib (0.64Km),Agence Manouba (1.79Km)
atb,atb,36.8255093,10.09661700000004,POINT (10.09661700000004 36.8255093),41,1452,294,DOUAR HICHER,145251,دوار هيشر,Douar Hicher,Manouba,Manouba,14,0.0001532758252835,0.0570227161241617,Douar Hicher,Agence Manouba,1.8,uib (0.18Km),Agence Manouba (1.79Km)
